timestamp,表面温度_x,高频加速度RMS_x,高频加速度峭度_x,速度RMS_x,表面温度_y,高频加速度RMS_y,高频加速度峭度_y,速度RMS_y,表面温度,高频加速度RMS,高频加速度峭度,速度RMS
2022/9/1 13:52,48,2.344765,2.600677,0.8612674,30,0.0568605,2.506006,0.1947918,54,1.385877,2.76511,0.2529017
2022/9/1 13:57,48,2.326308,2.997894,0.9548488,30,0.0818981,2.60767,0.1590901,54,1.380559,2.957323,0.2403208
2022/9/1 14:02,48,2.392047,2.923481,0.9702191,30,0.0626461,2.732878,0.1312439,55,1.279932,3.002296,0.2882902
2022/9/1 14:12,48,2.372293,2.661925,0.9136435,30,0.06886882,2.502418,0.2099328,55,1.308475,2.976972,0.6934606
2022/9/1 14:17,49,2.26928,2.928012,0.9668769,30,0.0626729,2.522573,0.1886024,54,1.634417,3.117396,0.5565809
2022/9/1 14:22,49,2.378934,2.984898,1.103094,30,0.06689797,3.050069,0.169346,54,1.264646,2.891297,0.2527114
2022/9/1 14:27,49,2.25845,2.846583,1.02787,30,0.06017479,2.789004,0.1499776,55,1.221686,2.813304,0.3006555
2022/9/1 14:32,49,2.25772,2.815521,0.9869322,30,0.07463954,2.864446,0.1905537,53,1.367314,3.057118,0.4447239
2022/9/1 14:37,49,2.205751,2.820681,0.9775493,30,0.05834166,2.55418,0.2098296,53,1.283919,2.775359,0.6871889
2022/9/1 14:42,49,2.41927,2.931881,1.003074,30,0.06046475,2.434512,0.204299,53,1.212201,2.940421,0.2908335
2022/9/1 14:47,50,2.332915,2.909282,1.11468,30,0.05891404,2.71995,0.1865425,54,1.227648,2.983863,0.2407072
2022/9/1 14:52,50,2.337282,2.826121,0.9406749,31,0.0587693,2.542855,0.1338617,54,1.276679,2.879833,0.2610337
2022/9/1 14:57,50,2.440019,2.838295,0.921532,31,0.0669701,2.808452,0.1911225,55,1.256785,2.803204,0.2901781
2022/9/1 15:02,50,2.403872,2.927269,0.9255375,31,0.05903477,2.687095,0.1479339,54,1.369297,3.200212,0.22038
2022/9/1 15:07,49,2.267687,3.101055,0.9427704,31,0.07494948,2.649361,0.1977748,55,1.284902,2.764785,0.2526577
2022/9/1 15:12,49,2.503784,3.026532,0.9936747,31,0.06726465,2.637854,0.1953134,56,1.229725,3.389147,0.30965
2022/9/1 15:17,50,2.542337,2.989018,0.9596891,31,0.06628137,2.610363,0.1539864,56,1.161628,2.853565,0.2541817
2022/9/1 15:22,50,2.305073,3.12642,1.023378,31,0.06479598,2.60763,0.1261687,55,1.348096,3.099915,0.2642236
2022/9/1 15:27,50,2.33813,2.857513,1.00362,31,0.06488339,2.727327,0.1178187,56,1.340575,3.091975,0.2049691
2022/9/1 15:32,50,2.395956,2.896695,1.081673,31,0.06930313,2.923574,0.1550736,55,1.327921,2.860605,0.2199086
2022/9/1 15:37,50,2.331728,2.661819,0.9249832,31,0.06606582,2.897718,0.1459285,56,1.362796,2.914466,0.2515726
2022/9/1 15:42,50,2.347116,2.817228,0.996587,31,0.07062793,2.362376,0.1390762,55,1.289405,2.92405,0.3190409
2022/9/1 15:47,49,2.444706,2.769163,1.14975,31,0.06750355,2.474064,0.2078837,56,1.216947,3.159744,0.200563
2022/9/1 15:52,49,2.371739,2.858741,0.9638993,31,0.06701544,2.536962,0.2012979,55,1.237147,3.091681,0.2149844
2022/9/1 15:57,50,2.367607,2.814879,1.079736,31,0.06658897,2.535394,0.1528404,55,0.02855602,2.981261,0.1436654
2022/9/1 16:02,50,2.440704,3.279841,1.025735,31,0.06016685,2.36448,0.134771,56,0.02839502,3.054887,0.09040192
2022/9/1 16:12,50,2.55196,2.893335,1.003707,31,0.06034435,2.3586,0.1472993,56,0.02851364,2.939943,0.05820983
2022/9/1 16:17,50,2.248629,2.771529,1.038029,31,0.06259876,2.392668,0.1285199,56,0.02745213,2.824356,0.1047403
2022/9/1 16:22,51,2.430423,2.883689,0.9386429,31,0.06126942,2.359338,0.1149871,55,0.02886726,2.795409,0.07331461
2022/9/1 16:27,51,2.260666,3.051228,1.139528,31,0.06025264,2.445099,0.1217498,53,0.02824891,2.890874,0.1091829
2022/9/1 16:32,51,2.521679,2.772935,1.126315,31,0.05820313,2.391314,0.1917303,53,0.02851357,2.831744,0.08043772
2022/9/1 16:37,51,2.275238,3.089599,1.091189,31,0.06023875,2.33863,0.107954,51,0.02548517,2.990773,0.1012697
2022/9/1 16:42,51,2.484132,2.940299,1.089249,31,0.05962084,2.433263,0.1840459,51,0.02709832,3.097292,0.09694861
2022/9/1 16:47,51,2.369113,2.972027,0.8644302,31,0.06206727,2.28978,0.1532104,51,0.02777768,2.759249,0.1294693
2022/9/1 16:52,51,2.535949,3.387663,0.915313,31,0.06303307,2.518651,0.1570657,49,1.664839,2.700799,0.6278042
2022/9/1 16:57,51,2.261754,3.057623,1.024675,31,0.07770556,2.759888,0.1453668,50,1.261406,2.984,0.2346692
2022/9/1 17:02,51,2.32655,2.686254,0.9317673,31,0.06897086,2.743424,0.1997642,50,1.218749,3.183388,0.2309217
2022/9/1 17:07,51,2.415337,2.780828,0.9902057,31,0.0671657,2.878675,0.1237277,51,1.382217,3.37357,0.2340909
2022/9/1 17:12,52,2.281082,2.784376,0.9730985,31,0.06836775,2.817832,0.1682544,52,1.255275,2.831119,0.2540392
2022/9/1 17:17,51,2.293018,2.993742,0.9545867,31,0.06324114,2.789826,0.1611795,51,1.342522,2.827584,0.2595388
2022/9/1 17:22,51,2.165208,3.009272,1.113985,31,0.06320392,2.892823,0.1690714,51,1.330344,3.059178,0.2588779
2022/9/1 17:27,51,2.355514,2.961018,0.9816564,31,0.06381252,2.518755,0.2051781,51,1.370649,2.781885,0.3191481
2022/9/1 17:32,51,2.445489,2.908575,1.05234,31,0.06426912,2.515156,0.1889634,52,1.195446,3.125071,0.2756549
2022/9/1 17:37,51,2.196398,2.904236,1.118785,31,0.06394961,2.466444,0.14445,52,1.353969,2.878143,0.2424896
