timestamp,表面温度,高频加速度RMS,高频加速度峭度,高频加速度有效值,速度有效值,速度RMS
2022-09-01 22:07:10,30.0,0.06486599,2.783848,,,0.1419081
2022-09-01 22:12:10,30.0,0.06350779,3.076271,,,0.2357188
2022-09-01 22:17:10,30.0,0.07013555,2.887289,,,0.1698886
2022-09-01 22:22:10,30.0,0.07140019,2.854525,,,0.1594602
2022-09-01 22:27:10,30.0,0.06541333,2.765382,,,0.212532
2022-09-01 22:32:10,30.0,0.05879441,2.442605,,,0.1542712
2022-09-01 22:37:10,30.0,0.06472199,2.521899,,,0.1444728
2022-09-01 22:42:10,30.0,0.07050986,2.778112,,,0.1480979
2022-09-01 22:47:10,30.0,0.06341486,2.531741,,,0.1537492
2022-09-01 22:52:10,30.0,0.08002775,2.762236,,,0.1979217
2022-09-01 22:57:10,30.0,0.07740317,2.513203,,,0.2674317
2022-09-01 23:02:10,30.0,0.06799975,2.492325,,,0.1574275
2022-09-01 23:07:10,30.0,0.07092912,2.72642,,,0.1254859
2022-09-01 23:12:10,30.0,0.07447208,2.544806,,,0.2501
2022-09-01 23:17:10,30.0,0.07636655,2.639044,,,0.162796
2022-09-01 23:22:10,30.0,0.06541129,2.5951,,,0.1327637
2022-09-01 23:27:10,30.0,0.07501663,2.520951,,,0.1695329
2022-09-01 23:32:10,30.0,0.08247895,2.719228,,,0.1562228
2022-09-01 23:37:10,30.0,0.06549681,2.4388,,,0.1324911
2022-09-01 23:42:10,30.0,0.07414576,2.412463,,,0.1807294
2022-09-01 23:47:10,29.0,0.07351151,2.571265,,,0.1804148
2022-09-01 23:52:10,29.0,0.06685795,2.354753,,,0.130719
2022-09-01 23:57:10,29.0,0.07183854,2.506385,,,0.1483155
2022-09-02 00:02:10,29.0,0.06784805,2.391505,,,0.1169083
2022-09-02 00:07:10,29.0,0.07091874,2.506677,,,0.1455348
2022-09-02 00:12:10,29.0,0.06914929,2.433853,,,0.1086728
2022-09-02 00:17:10,29.0,0.07384382,2.488468,,,0.1401479
2022-09-02 00:22:10,29.0,0.07866175,2.552108,,,0.1934727
2022-09-02 00:27:10,29.0,0.06398387,2.6882,,,0.1514717
2022-09-02 00:32:10,29.0,0.06453845,2.454246,,,0.1710372
