timestamp,表面温度_x,高频加速度RMS_x,高频加速度峭度_x,速度RMS_x
2022/9/11 17:57,31,0.1077535,3.544012,0.3220902
2022/9/11 18:02,31,0.0608035,2.577456,0.3236256
2022/9/11 18:07,31,0.05851049,3.146295,0.2374664
2022/9/11 18:12,31,0.09252717,2.407602,0.267861
2022/9/11 18:17,31,0.08465069,2.633437,0.2327437
2022/9/11 18:22,31,0.1184826,2.970843,0.2307272
2022/9/11 18:27,31,0.08581225,2.54836,0.2231804
2022/9/11 18:32,31,0.07993272,2.307475,0.2453761
2022/9/11 18:37,31,0.1153708,2.537711,0.2500166
2022/9/11 18:42,31,0.1012173,2.909494,0.259763
2022/9/11 18:47,31,0.1148283,2.535764,0.1970009
2022/9/11 18:52,31,0.117701,2.687641,0.2600513
2022/9/11 18:57,31,0.08758658,2.806671,0.2326444
2022/9/11 19:02,31,0.1173072,2.60854,0.3082544
2022/9/11 19:07,31,0.09530975,2.438125,0.3102645
2022/9/11 19:12,32,0.07809526,2.870167,0.300287
2022/9/11 19:17,32,0.07823029,2.759157,0.2574086
2022/9/11 19:22,32,0.1163855,3.906012,0.3161382
2022/9/11 19:27,32,0.1516524,2.512074,0.2252745
2022/9/11 19:32,32,0.06951573,2.478623,0.2615044
2022/9/11 19:37,32,0.1195575,2.651754,0.2827566
2022/9/11 19:42,32,0.1188511,2.783869,0.3074395
2022/9/11 19:47,32,0.1372505,2.441035,0.3020699
2022/9/11 19:52,32,0.08277582,2.310619,0.2697031
2022/9/11 19:57,32,0.06896885,2.900039,0.2892412
2022/9/11 20:02,32,0.09443427,2.512651,0.1910981
2022/9/11 20:07,32,0.07617694,2.769849,0.305661
2022/9/11 20:12,32,0.06602146,2.63867,0.2245198
2022/9/11 20:17,32,0.06898373,3.2808,0.2184484
2022/9/11 20:22,32,0.06814301,2.803274,0.3375133
2022/9/11 20:27,32,0.07631698,2.603801,0.2599587
2022/9/11 20:32,32,0.07884532,2.870275,0.2449905
2022/9/11 20:37,32,0.06544022,2.594112,0.3210495
2022/9/11 20:42,32,0.05310273,2.683776,0.2893513
2022/9/11 20:47,32,0.05106613,2.840492,0.3084023
2022/9/11 20:52,32,0.03689887,2.623955,0.2738942
2022/9/11 20:57,32,0.1054989,2.689655,0.2810168
2022/9/11 21:02,32,0.06986008,2.681931,0.2939986
2022/9/11 21:07,32,0.05935328,2.884227,0.1660204
2022/9/11 21:12,31,0.05871662,3.400493,0.2312882
2022/9/11 21:17,31,0.08734018,3.177859,0.2814732
2022/9/11 21:22,31,0.05298526,2.598426,0.2441532
2022/9/11 21:27,31,0.1011418,2.17187,0.2056416
2022/9/11 21:32,31,0.07337102,2.545035,0.3005711
2022/9/11 21:37,31,0.09049921,2.661181,0.3679782
2022/9/11 21:42,31,0.06654286,2.852687,0.2366613
2022/9/11 21:47,31,0.1098996,2.566563,0.3140374
2022/9/11 21:52,31,0.06836025,2.800433,0.2776768
2022/9/11 21:57,31,0.09442581,2.315959,0.2963317
2022/9/11 22:02,31,0.09178012,2.851689,0.2923469
2022/9/11 22:07,31,0.09275928,2.353791,0.3155732
2022/9/11 22:12,31,0.07612081,2.829261,0.2369977
2022/9/11 22:17,31,0.1066157,2.245522,0.2668958
2022/9/11 22:22,31,0.06809316,2.861106,0.2971304
2022/9/11 22:27,31,0.1326311,2.393229,0.28514
2022/9/11 22:32,31,0.09440229,3.273703,0.2820995
2022/9/11 22:37,31,0.09655743,3.294294,0.2744066
2022/9/11 22:42,31,0.08305595,2.558379,0.3589115
2022/9/11 22:47,31,0.06149831,2.632452,0.2815925
2022/9/11 22:52,31,0.09605288,2.968968,0.3629533
2022/9/11 22:57,31,0.08907651,2.359349,0.3479749
2022/9/11 23:02,31,0.05760594,2.712467,0.2569084
2022/9/11 23:07,31,0.06990715,2.807842,0.2508321
2022/9/11 23:12,31,0.06845422,2.757198,0.3577566
